run,run_label,id,question,step_idx,n_steps_in_cot,cot_step,options,correct,before_pred_idx,after_pred_idx,before_pred,after_pred,before_correct,after_correct,prediction_flipped,efficacy_pct,cot_efficacy_pct,specificity_pct,original_answer_mass_shift,correct_mass_shift,total_variation,entropy_before,entropy_after,entropy_delta,before_original_prob,after_original_prob,before_correct_prob,after_correct_prob,before_probs_sum,after_probs_sum,before_A,after_A,delta_A,before_B,after_B,delta_B,before_C,after_C,delta_C,before_D,after_D,delta_D
full,Full FUR,508,"To improve health, what is a good strategy?",1,5,"A spa trip (D) is a good strategy because it often involves relaxation, exercise, and healthy eating, which can all contribute to improved health.",A): high risk lifestyle | B): restaurant food | C): business trip | D): a spa trip,D,3,0,D,A,True,False,True,91.56395213930173,63.28383721443427,95.0,0.9271545400868616,0.9271545400868616,0.9271545400868616,0.3040739426637481,0.5553074992265429,0.2512335565627948,0.936347680843392,0.00919314075653048,0.936347680843392,0.00919314075653048,1.0,1.0,0.02827525005257223,0.8275400764996165,0.7992648264470442,0.022020787410825256,0.1438049037809045,0.12178411637007924,0.013356281693210485,0.019461878962948573,0.006105597269738089,0.936347680843392,0.00919314075653048,-0.9271545400868616
full,Full FUR,266,What is used for sensing visual things?,3,5,"- Tibia is a bone in the leg, not related to the senses.",A): nerves | B): tibia | C): nostril | D): cornea,D,3,2,D,C,True,False,True,96.09216822871508,46.89040089646548,100.0,0.9255890799934536,0.9255890799934536,0.9582893396531207,0.24109529614214412,0.16344389208170174,-0.07765140406044238,0.9513751811271057,0.02578610113365214,0.9513751811271057,0.02578610113365214,1.0,0.9999999999999999,0.028729040015140324,0.004480952743713601,-0.024248087271426723,0.010568824537645143,0.0021166521494047842,-0.008452172388240359,0.009326954320108773,0.9676162939732295,0.9582893396531207,0.9513751811271057,0.02578610113365214,-0.9255890799934536
full,Full FUR,1189,What can feathers on Spheniscidae be used for?,1,4,- The primary function of feathers in birds is to provide insulation and support during flight.,A): keeping warm | B): flying | C): sleeping | D): eating,A,1,0,B,A,False,True,True,92.04404912817724,58.63820262955893,95.0,0.9247205763729979,-0.8527403317176272,0.9247205763729978,0.21817351906833787,0.47913665326684646,0.2609631341985086,0.9550179581199579,0.030297381746960093,0.03267891616775787,0.8854192478853851,1.0,1.0,0.03267891616775787,0.8854192478853851,0.8527403317176272,0.9550179581199579,0.030297381746960093,-0.9247205763729979,0.0072916515996140465,0.03433142968577998,0.027039778086165932,0.005011474112670171,0.04995194068187486,0.04494046656920469
full,Full FUR,1577,What animal eats plants?,7,12,"Birds are known to eat plants, including fruits, leaves, and seeds.",A): eagles | B): robins | C): owls | D): leopards,B,1,3,B,D,True,False,True,95.80750850542988,48.42377497446437,95.0,0.8996571592811843,0.8996571592811843,0.9009609117855945,0.3529346383205205,0.28656819428644076,-0.06636644403407976,0.9217861968056074,0.022129037524423096,0.9217861968056074,0.022129037524423096,1.0,1.0,0.02456477118756896,0.025075484995712154,0.0005107138081431942,0.9217861968056074,0.022129037524423096,-0.8996571592811843,0.013148573337436803,0.011844820833026586,-0.0013037525044102168,0.040500458669386924,0.9409506566468382,0.9004501979774513
full,Full FUR,1577,What animal eats plants?,11,12,"Therefore, the correct answer is the bird that eats plants.",A): eagles | B): robins | C): owls | D): leopards,B,1,0,B,A,True,False,True,97.16321835502869,46.786569846213375,100.0,0.8938828246955911,0.8938828246955911,0.8938828246955912,0.3529346383205205,0.6059078224716765,0.252973184151156,0.9217861968056074,0.02790337211001621,0.9217861968056074,0.02790337211001621,1.0,1.0,0.02456477118756896,0.8154560236395595,0.7908912524519905,0.9217861968056074,0.02790337211001621,-0.8938828246955911,0.013148573337436803,0.014935599473093456,0.0017870261356566532,0.040500458669386924,0.14170500477733086,0.10120454610794394
full,Full FUR,9-794,As the rain forest is deforested the atmosphere will increase with,4,8,Step 5: The atmosphere will increase in carbon dioxide levels because the trees that absorb carbon dioxide during photosynthesis are cut down.,A): oxygen | B): nitrogen | C): carbon | D): rain,C,2,0,C,A,True,False,True,90.40329139550015,50.39962912665585,95.0,0.8754633371926329,0.8754633371926329,0.8754633371926329,0.4092224821238179,0.52524811627061,0.11602563414679207,0.9052028411525466,0.029739503959913642,0.9052028411525466,0.029739503959913642,1.0,1.0,0.045067394797732634,0.8691156892133803,0.8240482944156478,0.03509852195358171,0.038186277269531776,0.0030877553159500692,0.9052028411525466,0.029739503959913642,-0.8754633371926329,0.0146312420961391,0.06295852955717429,0.04832728746103519
full,Full FUR,7-903,The main component in dirt is,2,6,"Step 3:  Among the options provided, microorganisms are known to be a significant component of dirt, as they contribute to decomposition and nutrient cycling.",A): microorganisms | B): broken stones | C): pollution | D): bacteria,B,0,1,A,B,False,True,True,82.75783761062472,49.52003948770541,100.0,0.8451102618262063,-0.8670003712277858,0.8676281716125931,0.4980703096331515,0.21595466018355114,-0.2821156494496004,0.8649964525831653,0.019886190756958962,0.0911699565514011,0.958170327779187,1.0,1.0,0.8649964525831653,0.019886190756958962,-0.8451102618262063,0.0911699565514011,0.958170327779187,0.8670003712277858,0.005828300219574002,0.006456100604381154,0.0006278003848071518,0.03800529064585964,0.015487380859472875,-0.022517909786386764
full,Full FUR,7-903,The main component in dirt is,3,6,Step 4:  Broken stones and pollution are not typically considered main components of dirt.,A): microorganisms | B): broken stones | C): pollution | D): bacteria,B,0,1,A,B,False,True,True,88.05670317332803,38.871226136454936,100.0,0.8391956955871833,-0.8769963308793567,0.8769963308793567,0.4980703096331515,0.15995259966122807,-0.3381177099719235,0.8649964525831653,0.025800756995981937,0.0911699565514011,0.9681662874307578,1.0,1.0,0.8649964525831653,0.025800756995981937,-0.8391956955871833,0.0911699565514011,0.9681662874307578,0.8769963308793567,0.005828300219574002,0.004483499544396416,-0.0013448006751775859,0.03800529064585964,0.0015494560288638658,-0.03645583461699577
full,Full FUR,7-157,Ocean water contains,3,5,"Step 4:  Ocean water does contain sodium and chloride ions, but in very small amounts compared to the overall composition of the water.",A): copious amounts of seltzer | B): scant amounts of sodium chloride | C): scant amounts of carbonation | D): copious amounts of the combination of Na and Cl,D,3,1,D,B,True,False,True,82.75783761062472,52.113096149628845,95.0,0.8236028886843872,0.8236028886843872,0.824670972955192,0.49939210213067864,0.09240876188139518,-0.40698334024928345,0.8281650346308392,0.004562145946452038,0.8281650346308392,0.004562145946452038,1.0,0.9999999999999999,0.00383516535951738,0.0027670810887125774,-0.0010680842708048026,0.16307535063396153,0.9851490674012395,0.822073716767278,0.004924449375681816,0.007521705563595812,0.002597256187913995,0.8281650346308392,0.004562145946452038,-0.8236028886843872
full,Full FUR,9-29,What could be a positive aspect of a tree being cut down?,0,8,"(A) If a tree is cut down, the plants that were under the tree will have access to more light.",A): the plants that were under the tree will have access to more light | B): the squirrels that were in that tree will have an easier time getting to their home | C): Plants under the tree will get cooled off by the shade | D): The sun will shine brighter than before,A,0,3,A,D,True,False,True,86.72823380943798,37.17667410321091,80.0,0.803262297205672,0.803262297205672,0.803262297205672,0.48963887662616384,0.8578800639568596,0.3682411873306957,0.8657912296736372,0.06252893246796526,0.8657912296736372,0.06252893246796526,0.9999999999999999,1.0,0.8657912296736372,0.06252893246796526,-0.803262297205672,0.07106847057274261,0.2473067714961401,0.17623830092339748,0.0004225886214798559,0.017914839622820606,0.01749225100134075,0.06271771113214035,0.672249456413074,0.6095317452809337
