arm,model,id,direct_correct,cot_correct,agreement,generated_steps,valid_steps,cot_words,initial_margin,hard_flip,max_soft_shift
base,Base LLaMA-3B,7-527,0,0,0,5,4,104,92.3828125,0,10.9375
base,Base LLaMA-3B,9-554,1,1,1,5,5,95,85.5712890625,1,90.2165412902832
base,Base LLaMA-3B,8-186,1,0,0,5,5,85,91.9189453125,0,12.890625
base,Base LLaMA-3B,1672,1,1,1,16,8,95,67.08984375,1,56.640625
base,Base LLaMA-3B,9-948,1,1,1,6,3,37,95.794677734375,1,60.546875
base,Base LLaMA-3B,9-317,1,1,1,8,4,45,54.6875,1,69.27337646484375
base,Base LLaMA-3B,7-417,0,0,1,8,4,42,17.7734375,1,43.288421630859375
base,Base LLaMA-3B,3,1,1,1,4,4,81,76.85546875,1,66.50390625
base,Base LLaMA-3B,1787,1,1,1,5,5,78,15.625,1,48.4130859375
base,Base LLaMA-3B,1759,1,1,1,9,5,87,98.0743408203125,0,2.734375
base,Base LLaMA-3B,28,0,0,1,6,6,96,60.05859375,1,43.9453125
base,Base LLaMA-3B,7-1128,1,1,1,4,4,98,92.0166015625,1,88.6474609375
base,Base LLaMA-3B,9-504,1,1,1,7,7,88,76.708984375,1,80.859375
base,Base LLaMA-3B,7-1170,1,0,0,12,6,99,21.875,1,52.5390625
base,Base LLaMA-3B,8-192,1,1,1,5,5,104,79.6875,1,83.3740234375
base,Base LLaMA-3B,1047,1,1,1,3,3,42,64.501953125,0,25.78125
base,Base LLaMA-3B,7-1132,0,1,0,6,3,37,51.66015625,1,55.56640625
base,Base LLaMA-3B,202,1,1,1,3,3,33,53.125,1,54.296875
base,Base LLaMA-3B,7-653,1,1,1,5,5,89,51.5625,1,70.64208984375
base,Base LLaMA-3B,1274,1,1,1,8,4,76,97.9736328125,0,49.21875
base,Base LLaMA-3B,9-463,0,0,1,4,4,73,73.73046875,1,74.755859375
base,Base LLaMA-3B,9-799,1,1,1,8,4,51,91.2841796875,1,92.901611328125
base,Base LLaMA-3B,1208,1,1,1,7,6,103,52.24609375,1,64.9169921875
base,Base LLaMA-3B,850,1,1,1,6,6,91,0.0,1,24.4140625
base,Base LLaMA-3B,1239,0,0,1,6,6,103,17.96875,1,42.724609375
base,Base LLaMA-3B,1545,1,1,1,12,6,73,93.5791015625,1,95.4254150390625
base,Base LLaMA-3B,8-135,1,1,1,9,8,110,46.58203125,1,59.3017578125
base,Base LLaMA-3B,1554,1,1,1,9,7,103,91.2841796875,1,51.5625
base,Base LLaMA-3B,8-332,1,1,1,4,4,75,89.404296875,1,54.6875
base,Base LLaMA-3B,7-891,1,0,0,4,4,84,8.203125,1,5.2734375
base,Base LLaMA-3B,7-1197,1,1,1,14,6,104,77.24609375,0,20.703125
base,Base LLaMA-3B,8-279,1,1,1,6,6,91,81.54296875,1,54.296875
base,Base LLaMA-3B,8-466,1,0,0,9,5,95,27.05078125,1,51.30615234375
base,Base LLaMA-3B,1204,1,1,1,6,6,94,96.185302734375,0,9.375
base,Base LLaMA-3B,9-24,1,1,1,10,5,89,63.57421875,1,56.4453125
base,Base LLaMA-3B,8-165,1,1,1,8,4,44,94.3359375,1,75.9765625
base,Base LLaMA-3B,7-664,0,0,1,4,4,69,93.56689453125,1,51.5625
base,Base LLaMA-3B,9-633,1,1,1,4,4,88,98.8616943359375,1,63.8671875
