run,run_label,id,question,n_steps_evaluated,n_steps_in_cot,any_flip,flip_steps,n_flip_steps,best_step_idx_by_mass_shift,best_step_mass_shift,best_step_total_variation,best_step_efficacy_pct,mean_efficacy_pct,mean_specificity_pct,before_pred,after_pred_at_best_shift,correct,before_correct,after_correct_any,options
full,Full FUR,508,"To improve health, what is a good strategy?",5,5,True,"0,1,2",3,1,0.9271545400868616,0.9271545400868616,91.56395213930173,92.59004016842275,95.0,D,A,D,True,True,A): high risk lifestyle | B): restaurant food | C): business trip | D): a spa trip
full,Full FUR,266,What is used for sensing visual things?,5,5,True,3,1,3,0.9255890799934536,0.9582893396531207,96.09216822871508,94.84137472792084,96.0,D,C,D,True,True,A): nerves | B): tibia | C): nostril | D): cornea
full,Full FUR,1189,What can feathers on Spheniscidae be used for?,4,4,True,1,1,1,0.9247205763729979,0.9247205763729978,92.04404912817724,90.33473800842359,91.25,B,A,A,False,True,A): keeping warm | B): flying | C): sleeping | D): eating
full,Full FUR,1577,What animal eats plants?,6,12,True,"7,11",2,7,0.8996571592811843,0.9009609117855945,95.80750850542988,94.21250981457972,96.66666666666667,B,D,B,True,True,A): eagles | B): robins | C): owls | D): leopards
full,Full FUR,9-794,As the rain forest is deforested the atmosphere will increase with,8,8,True,"4,5",2,4,0.8754633371926329,0.8754633371926329,90.40329139550015,89.199330069458,94.375,C,A,C,True,True,A): oxygen | B): nitrogen | C): carbon | D): rain
full,Full FUR,7-903,The main component in dirt is,6,6,True,"1,2,3",3,2,0.8451102618262063,0.8676281716125931,82.75783761062472,85.98577028814408,98.33333333333333,A,B,B,False,True,A): microorganisms | B): broken stones | C): pollution | D): bacteria
full,Full FUR,7-157,Ocean water contains,5,5,True,"3,4",2,3,0.8236028886843872,0.824670972955192,82.75783761062472,83.49952696579973,95.0,D,B,D,True,True,A): copious amounts of seltzer | B): scant amounts of sodium chloride | C): scant amounts of carbonation | D): copious amounts of the combination of Na and Cl
full,Full FUR,9-29,What could be a positive aspect of a tree being cut down?,8,8,True,"0,1",2,0,0.803262297205672,0.803262297205672,86.72823380943798,82.51197564467654,91.875,A,D,A,True,True,A): the plants that were under the tree will have access to more light | B): the squirrels that were in that tree will have an easier time getting to their home | C): Plants under the tree will get cooled off by the shade | D): The sun will shine brighter than before
full,Full FUR,8-257,Which of these is a hypothesis?,6,6,True,"0,2",2,2,0.8010721059265554,0.8594630596491181,86.93399347262284,87.61592920642543,98.33333333333333,A,C,A,True,True,A): The ice caps will completely melt if global warming continues | B): The earth is round | C): The earth revolves around the sun | D): Gravity causes objects to fall
full,Full FUR,1702,How can we see that the coloration of fur is an inherited characteristic?,4,4,True,1,1,1,0.7908956756360075,0.7908956756360074,85.01974971358183,87.05694656179003,97.5,B,C,B,True,True,A): puppies have soft fur | B): kittens look like their parents | C): all mammals are born with fur | D): baby rats are mostly bald
full,Full FUR,9-271,what system is needed for a body to get its needed supply of the gas humans breathe in?,7,7,True,2,1,2,0.7842549292956573,0.7962453587768232,93.9945332104692,93.53460747865493,92.85714285714286,A,B,A,True,True,A): the circulatory system | B): the digestive system | C): the school system | D): central nervous system
full,Full FUR,1180,What is different about birth in humans and chickens?,7,7,True,"1,4,5",3,1,0.7548011556290934,0.7548011556290934,76.97869282526385,88.0472399956323,93.57142857142857,B,D,D,False,True,A): Mother | B): Fertilization | C): Father | D): the hard shell
full,Full FUR,695,Some berries may be eaten by,4,4,True,"1,2",2,1,0.7526464246926009,0.7526464246926008,95.74148637112124,92.48538468649156,93.75,A,B,A,True,True,A): a bear or person | B): a bear or shark | C): a bear or lion | D): a bear or wolf
full,Full FUR,359,What is a more comfortable color to have for your automobile upholstery if living in a desert?,5,5,True,"1,2,3,4",4,3,0.7458031916324305,0.7458031916324304,81.9303689606251,85.90934483321232,98.0,A,C,A,True,True,A): ecru | B): red | C): black | D): navy
full,Full FUR,7-49,A rabbit may enjoy,3,3,True,"0,1",2,0,0.7454557683817742,0.7921003020607339,96.14523204870059,93.60667249253108,91.66666666666667,C,A,C,True,True,A): meat | B): compost | C): peas | D): pebbles
full,Full FUR,889,An animal that only eats plants is a,6,6,True,"0,1,4,5",4,5,0.6938238989865251,0.6938238989865251,91.39756600416064,85.36610585213002,93.33333333333333,B,C,B,True,True,A): rat | B): moth | C): chimpanzee | D): pig
full,Full FUR,1923,When trying to pull a rose out of the ground why do you encounter resistance?,8,8,True,"5,6",2,6,0.6913061264280592,0.6922475888291899,94.65862726728336,90.41237098285544,93.125,B,A,A,False,True,A): roots | B): tensile strength | C): plant temperature | D): plant color
full,Full FUR,7-671,"If a UFO is flying overhead and looks small, then large, then",3,6,True,5,1,5,0.6869014954614285,0.6869014954614285,86.14553330092446,90.8966257405885,90.0,C,B,C,True,True,A): the UFO is calling | B): the UFO had been close | C): the UFO is approaching | D): the UFO is leaving
full,Full FUR,1674,A girl and her mom have the same,5,5,True,"0,3,4",3,3,0.6801696478736848,0.7251890177343758,94.55327812986499,88.12039434704141,94.0,A,C,C,False,True,A): date of birth | B): shirt | C): number of toenails | D): hair length
full,Full FUR,880,Predators eat,6,12,True,"5,7",2,5,0.6794791823149796,0.6794791823149796,91.39756600416064,93.97112171325888,95.83333333333333,A,C,C,False,True,A): lions | B): humans | C): bunnies | D): grass
