run,run_label,id,question,n_steps_evaluated,n_steps_in_cot,any_flip,flip_steps,n_flip_steps,best_step_idx_by_mass_shift,best_step_mass_shift,best_step_total_variation,best_step_efficacy_pct,mean_efficacy_pct,mean_specificity_pct,before_pred,after_pred_at_best_shift,correct,before_correct,after_correct_any,options
full,Full FUR,1032,Which requires energy to move?,4,4,True,"0,2",2,2,0.4349683986486685,0.7436336277701652,74.3178759921345,77.5255437761642,96.25,C,A,A,False,True,A): weasel | B): willow | C): mango | D): poison ivy
full,Full FUR,1129,There is most likely going to be fog around:,5,5,True,1,1,1,0.279602664304023,0.42921847748098235,87.38536451909708,90.84551639591288,97.0,C,B,A,False,False,A): a marsh | B): a tundra | C): the plains | D): a desert
full,Full FUR,1180,What is different about birth in humans and chickens?,7,7,True,"1,4,5",3,1,0.7548011556290934,0.7548011556290934,76.97869282526385,88.0472399956323,93.57142857142857,B,D,D,False,True,A): Mother | B): Fertilization | C): Father | D): the hard shell
full,Full FUR,1184,Seeds provide new plants with,8,9,True,"3,6",2,3,0.4942254560354845,0.4966100093927706,98.29279473426537,95.06800443437217,91.875,B,A,A,False,True,A): life sustaining elements | B): essentials for photosynthesis | C): water and hydrogen | D): storage for roots
full,Full FUR,1189,What can feathers on Spheniscidae be used for?,4,4,True,1,1,1,0.9247205763729979,0.9247205763729978,92.04404912817724,90.33473800842359,91.25,B,A,A,False,True,A): keeping warm | B): flying | C): sleeping | D): eating
full,Full FUR,1204,Which of these situations is an example of pollutants?,6,6,False,,0,0,0.0300495955058111,0.03004959550581109,86.88285456898058,89.30514404859856,96.66666666666667,A,A,A,True,True,A): plastic bags floating in the ocean | B): mallard ducks floating on a lake | C): cottonwood seeds floating in the air | D): cirrus clouds floating in the sky
full,Full FUR,1215,A fallen leaf,7,7,False,,0,6,0.03780930149813899,0.037809301498138964,80.53824152993387,86.41306286188357,93.57142857142857,C,C,C,True,True,A): will turn into a tree | B): will become bright green | C): will begin to recycle the nutrients that made up its structure | D): is likely to continue to grow
full,Full FUR,1272,Inherited behavior is exhibited when,7,7,True,"0,2,5,6",4,6,0.41219484268010925,0.589724710663639,92.22834853162153,88.4637629263113,95.0,B,D,A,False,True,A): bears take a long winter sleep | B): dogs sit on command | C): seals clap for their trainers | D): rats navigate thru a maze
full,Full FUR,1309,They studied the soil by using,6,6,True,"0,1,2,5",4,2,0.608116521016601,0.8833015195890811,96.52430247327771,94.64260245726797,95.0,A,D,D,False,True,A): plants | B): a telescope | C): roots | D): a microscope
full,Full FUR,132,What would happen when balloons heat up?,4,4,True,"0,1,3",3,0,0.352441830469152,0.5225345572555679,94.38038061800702,89.2049061420895,90.0,A,C,A,True,True,A): they get bigger | B): they get smaller | C): nothing happens | D): they fall down
full,Full FUR,1426,To grow plants require,6,6,False,,0,1,0.017820850075993877,0.017820850075993856,95.74148637112124,95.8739107816806,95.0,C,C,C,True,True,A): acid rain | B): pesticides | C): shafts of sunlight | D): moonbeam rays
full,Full FUR,1577,What animal eats plants?,6,12,True,"7,11",2,7,0.8996571592811843,0.9009609117855945,95.80750850542988,94.21250981457972,96.66666666666667,B,D,B,True,True,A): eagles | B): robins | C): owls | D): leopards
full,Full FUR,1582,A tool used to identify the percent chance of a trait being passed down has at least,7,7,True,"0,4",2,4,0.11433751210091153,0.15605526650134693,78.03291523454247,81.51448458559283,96.42857142857143,B,C,A,False,False,A): four boxes | B): eight boxes | C): two boxes | D): six boxes
full,Full FUR,1618,The chance of wildfires is increased by,5,5,True,2,1,2,0.520510976908892,0.5349903166783845,95.96812033236124,92.7930970830195,95.0,A,B,A,True,True,A): parched foliage | B): torrential rain | C): lush foliage | D): careful fire maintenance
full,Full FUR,163,The transportation with the most mass is likely a,6,6,True,"0,1",2,1,0.25984939957523345,0.534098622034146,80.68969413591216,85.91485374084289,95.83333333333333,C,D,A,False,True,A): commercial plane | B): private plane | C): bus | D): private car
full,Full FUR,1672,Squirrels spend their fall,8,16,False,,0,5,0.2645747266946158,0.26457472669461585,94.70019415966442,91.64520694660462,93.125,C,C,C,True,True,A): looking for pretty leaves to collect | B): stockpiling rocks for fighting in the winter | C): stockpiling pecans for the frigid months | D): collecting twigs to keep warm
full,Full FUR,1674,A girl and her mom have the same,5,5,True,"0,3,4",3,3,0.6801696478736848,0.7251890177343758,94.55327812986499,88.12039434704141,94.0,A,C,C,False,True,A): date of birth | B): shirt | C): number of toenails | D): hair length
full,Full FUR,1702,How can we see that the coloration of fur is an inherited characteristic?,4,4,True,1,1,1,0.7908956756360075,0.7908956756360074,85.01974971358183,87.05694656179003,97.5,B,C,B,True,True,A): puppies have soft fur | B): kittens look like their parents | C): all mammals are born with fur | D): baby rats are mostly bald
full,Full FUR,1759,Thermometers,9,9,False,,0,0,0.007620770980863445,0.007620770980863434,94.22459903025472,87.98440629827681,92.77777777777777,A,A,A,True,True,A): can help you monitor a fever | B): indicate levels of mercury in the blood | C): read exactly at 98.6 degrees | D): are used only for babies
full,Full FUR,1923,When trying to pull a rose out of the ground why do you encounter resistance?,8,8,True,"5,6",2,6,0.6913061264280592,0.6922475888291899,94.65862726728336,90.41237098285544,93.125,B,A,A,False,True,A): roots | B): tensile strength | C): plant temperature | D): plant color
full,Full FUR,266,What is used for sensing visual things?,5,5,True,3,1,3,0.9255890799934536,0.9582893396531207,96.09216822871508,94.84137472792084,96.0,D,C,D,True,True,A): nerves | B): tibia | C): nostril | D): cornea
full,Full FUR,326,December 21st through March 20 is a three month period which is an example of what?,8,8,False,,0,3,0.4258197404066645,0.4258197404066645,91.26209738045796,92.18465178852554,94.375,C,C,C,True,True,A): A session | B): A Match | C): A Season | D): Autumn
full,Full FUR,359,What is a more comfortable color to have for your automobile upholstery if living in a desert?,5,5,True,"1,2,3,4",4,3,0.7458031916324305,0.7458031916324304,81.9303689606251,85.90934483321232,98.0,A,C,A,True,True,A): ecru | B): red | C): black | D): navy
full,Full FUR,378,What explains the characteristic lunar formations?,4,8,True,1,1,1,0.39322894002064634,0.3932289400206464,86.0368713718601,85.76864487050335,92.5,B,C,B,True,True,A): remains of ancient ponds | B): many collisions that have occured | C): volcanic explosions over millions of years | D): sink holes due to the moons porous nature
full,Full FUR,508,"To improve health, what is a good strategy?",5,5,True,"0,1,2",3,1,0.9271545400868616,0.9271545400868616,91.56395213930173,92.59004016842275,95.0,D,A,D,True,True,A): high risk lifestyle | B): restaurant food | C): business trip | D): a spa trip
full,Full FUR,530,"When it's flying, a plane has no friction with the",6,12,False,,0,7,0.17555930946458587,0.18071009661354742,88.28770744500207,86.8827274036119,90.0,C,C,B,False,False,A): wings | B): ground | C): air | D): clouds
full,Full FUR,591,"When looking for good soil for plants, typically what is optimal?",5,10,False,,0,5,-0.0014094071115114959,0.005916455784707718,93.75530261031417,91.17322984954953,92.0,A,A,A,True,True,A): malleable and nutritious | B): dry and sandy | C): grainy and bitter | D): compact and hard
full,Full FUR,695,Some berries may be eaten by,4,4,True,"1,2",2,1,0.7526464246926009,0.7526464246926008,95.74148637112124,92.48538468649156,93.75,A,B,A,True,True,A): a bear or person | B): a bear or shark | C): a bear or lion | D): a bear or wolf
full,Full FUR,7-1044,are explosions safe?,5,5,False,,0,3,0.379027041454727,0.379027041454727,99.06452870139563,95.9059430427636,94.0,A,A,A,True,True,A): they could harm living things | B): they are very safe | C): they cause nothing serious | D): none of these
full,Full FUR,7-1122,The lowest temperature on the trip was at,3,3,False,,0,1,-0.07351955894563883,0.09129862307691011,90.55207457189076,88.07944168332551,96.66666666666667,A,A,A,True,True,A): the mountain pass | B): the plain | C): the large hill | D): the canyon
full,Full FUR,7-1140,The summer solstice in the northern hemisphere is four months before,6,7,False,,0,1,0.18575243397901198,0.18575243397901198,86.5717904293102,85.82364381608848,99.16666666666667,B,B,D,False,False,A): May | B): July | C): April | D): October
full,Full FUR,7-1197,Bill's arm got cold when he put it inside the,5,10,False,,0,5,0.47548253334570645,0.47548253334570645,96.27112087435374,94.6683209366992,97.0,A,A,A,True,True,A): refrigerator | B): room | C): jacket | D): oven
full,Full FUR,7-140,A person can see,4,4,True,"1,3",2,3,0.39674996561404674,0.4921560896790307,89.21013048572325,89.05298379497911,96.25,B,C,C,False,True,A): a radio recording | B): an emotion | C): a written message | D): an abstract idea
full,Full FUR,7-157,Ocean water contains,5,5,True,"3,4",2,3,0.8236028886843872,0.824670972955192,82.75783761062472,83.49952696579973,95.0,D,B,D,True,True,A): copious amounts of seltzer | B): scant amounts of sodium chloride | C): scant amounts of carbonation | D): copious amounts of the combination of Na and Cl
full,Full FUR,7-238,Shining a light through a diamond can,9,9,True,"1,5,6,8",4,5,0.4252562854419925,0.9238803988406032,90.47797357435883,90.19591620034635,97.22222222222223,D,B,B,False,True,A): make a lot of bright lights shine | B): summon a brilliant wave of color | C): heat up a room | D): make a lot of money
full,Full FUR,7-391,Animals are drawn to,5,5,True,"1,2",2,2,0.6159523522318855,0.6159523522318855,91.85537919033003,94.33180180521383,92.0,C,D,C,True,True,A): gold | B): houses | C): feeders | D): Carbon Dioxide
full,Full FUR,7-414,"As gasoline costs rise, alternative fuels are being used, which means that",4,4,False,,0,2,0.3257307691411444,0.3257307691411444,83.41837447878325,84.35610096723437,93.75,D,D,D,True,True,A): wind power will be expensive | B): gas costs will rise | C): oil costs will be maintained | D): gasoline will be needed less
full,Full FUR,7-49,A rabbit may enjoy,3,3,True,"0,1",2,0,0.7454557683817742,0.7921003020607339,96.14523204870059,93.60667249253108,91.66666666666667,C,A,C,True,True,A): meat | B): compost | C): peas | D): pebbles
full,Full FUR,7-511,It's easier for human's to survive in:,6,6,True,"2,3,4,5",4,4,0.40413388500369,0.4882385147912687,86.88285456898058,90.12202374716095,94.16666666666667,C,D,C,True,True,A): a cave | B): the ocean. | C): a town | D): alone
full,Full FUR,7-52,Human reproduction requires,4,4,False,,0,2,0.08298020493552738,0.08298020493552737,91.85537919033003,95.0186975394648,91.25,D,D,D,True,True,A): eggs with shells | B): nest incubation | C): a nest | D): a womb
full,Full FUR,7-664,If bacon is left too long on a hot stove top,5,5,False,,0,4,0.3354089066419944,0.3354089066419944,80.76497788389526,87.83603265312578,95.0,B,B,C,False,False,A): it will be cooked perfectly | B): it will be bacteria laden | C): it will become blackened | D): it will be left raw
full,Full FUR,7-671,"If a UFO is flying overhead and looks small, then large, then",3,6,True,5,1,5,0.6869014954614285,0.6869014954614285,86.14553330092446,90.8966257405885,90.0,C,B,C,True,True,A): the UFO is calling | B): the UFO had been close | C): the UFO is approaching | D): the UFO is leaving
full,Full FUR,7-891,A recyclable material can be,4,4,True,"0,1,2,3",4,2,0.37385230450340223,0.5359234374913684,84.0536065769052,87.23012180856247,96.25,A,D,D,False,True,A): transformed | B): traded | C): thrown away | D): used more times
full,Full FUR,7-903,The main component in dirt is,6,6,True,"1,2,3",3,2,0.8451102618262063,0.8676281716125931,82.75783761062472,85.98577028814408,98.33333333333333,A,B,B,False,True,A): microorganisms | B): broken stones | C): pollution | D): bacteria
full,Full FUR,7-942,Cold-blooded animals are often,4,8,False,,0,1,0.1010497371124095,0.10104973711240951,90.98472657691836,90.58861777522372,96.25,D,D,C,False,False,A): fast | B): large | C): hairless | D): slow
full,Full FUR,7-988,Plant growth may cause,4,8,True,"3,5",2,5,0.33958266117367525,0.44340120205984757,91.596841173043,86.30422293395485,93.75,C,A,A,False,True,A): an uptick in the number of leaves | B): a surge in leaf disease | C): a gradual decrease in leaves | D): a rapid decline of the leaves
full,Full FUR,758,A positive effect of burning biofuel is,5,5,False,,0,3,0.14816895381129858,0.14816895381129855,89.21013048572325,89.64466160858316,97.0,C,C,C,True,True,A): shortage of crops for the food supply | B): an increase in air pollution | C): powering the lights in a home | D): deforestation in the amazon to make room for crops
full,Full FUR,788,Owls are likely to hunt at,3,3,False,,0,0,0.2145465737861575,0.21454657378615752,87.65349149462385,86.44734058676083,95.0,B,B,B,True,True,A): 3pm | B): 2am | C): 6pm | D): 7am
full,Full FUR,8-125,"A prisoner is kept in a stone room, unable to see the sun. The prisoner knows that he needs vitamin D to survive, so he",4,4,True,"2,3",2,3,0.507536528143766,0.5144511522880206,80.83996812836007,85.29859621845078,96.25,A,D,A,True,True,A): asks for milk | B): asks for television | C): asks for water | D): asks for sleep
full,Full FUR,8-201,A red-tailed hawk is searching for prey. It is most likely to swoop down on,7,14,True,"1,3,7,9,13",5,7,0.6370810034021376,0.6715733523710568,87.28642670679643,90.48200121592997,87.14285714285714,D,C,C,False,True,A): an eagle | B): a cow | C): a gecko | D): a deer
full,Full FUR,8-257,Which of these is a hypothesis?,6,6,True,"0,2",2,2,0.8010721059265554,0.8594630596491181,86.93399347262284,87.61592920642543,98.33333333333333,A,C,A,True,True,A): The ice caps will completely melt if global warming continues | B): The earth is round | C): The earth revolves around the sun | D): Gravity causes objects to fall
full,Full FUR,8-308,Some blind people have demonstrated bat-like skills by:,6,6,True,"1,4",2,1,0.4503812610336443,0.45317316368744665,94.3141383230082,93.26746215202917,99.16666666666667,A,D,D,False,True,A): sensing shapes by light and shadows | B): having a unusually strong sense of smell | C): sensing nearby objects by temperature change | D): using sound to 'see'
full,Full FUR,8-343,"A person wants to start saving money so that they can afford a nice vacation at the end of the year. After looking over their budget and expenses, they decide the best way to save money is to",5,5,False,,0,3,0.15571534593143332,0.15571534593143332,93.60721387932924,90.4135333032143,95.0,B,B,B,True,True,A): make more phone calls | B): quit eating lunch out | C): buy less with monopoly money | D): have lunch with friends
full,Full FUR,8-35,which of these would stop a car quicker?,8,11,True,3,1,3,0.4099536836800136,0.46511266808326146,92.8683317302242,94.6602877142713,95.625,A,C,D,False,False,A): a wheel with wet brake pads | B): a wheel without brake pads | C): a wheel with worn brake pads | D): a wheel with dry brake pads
full,Full FUR,8-393,"A construction group wants to put a shopping center in town, but the only place available is a small nature park with a trail. Deer and other wildlife frequent the park, since it is the only place in the city where trees and fresh water are available for them. The construction group decides to build the shopping center, which means that",7,7,False,,0,4,0.5480128233812307,0.5480128233812307,95.46683583883238,86.00114774490848,95.0,D,D,D,True,True,A): the deer are moved to a zoo | B): the trail is expanded | C): the mall has a nature park in it | D): the wildlife environment is destroyed
full,Full FUR,8-395,Overpopulation can cause,3,3,False,,0,0,-0.07634770346365882,0.17918663086910744,93.68169209356077,94.50220288066123,91.66666666666667,C,C,B,False,False,A): More fresh water for people to drink | B): Lower Life Expectancy in Countries | C): More food for more people | D): More space for places to people to live
full,Full FUR,8-41,Tadpoles start their lives as,3,6,False,,0,5,0.007567399442925615,0.010024166758519977,98.22478740783714,96.96669821269624,91.66666666666667,B,B,A,False,False,A): Water animals | B): Frogs | C): Ants | D): College Students
full,Full FUR,8-464,An electric car runs on electricity via,2,2,True,1,1,1,0.21439603981861494,0.21439603981861494,92.46745711008072,94.39101037105902,95.0,B,C,C,False,True,A): gasoline | B): a power station | C): electrical conductors | D): fuel
full,Full FUR,8-466,What is the best way to guess a babies eye color?,6,9,True,"2,4",2,4,0.3493526926661367,0.37545387244123785,90.40329139550015,92.85219539299771,91.66666666666667,A,C,D,False,False,A): The surroundings they are born in. | B): Their parents usual diet. | C): Just take a random guess. | D): The genealogy records of their family.
full,Full FUR,8-53,the dashboard reading in a jaguar would likely be set to which of these?,6,12,True,9,1,9,0.5119626246528048,0.5119626246528048,92.75602429657485,94.66561033417823,90.83333333333333,C,B,C,True,True,A): set to calories | B): set to volume | C): set to kilometers | D): set to width
full,Full FUR,8-63,Beak shape can influence a bird's ability,6,6,True,"0,2,3,5",4,5,0.3886790589343972,0.6915223192470825,84.66450331550716,85.52274722567729,95.0,D,A,D,True,True,A): to give birth to live young | B): to mate with it's partner | C): to fly to warmer climates | D): to chew up certain worms
full,Full FUR,8-93,Over a period of time the weather can change,4,4,True,"0,2,3",3,2,0.2850438506743091,0.5997753801145658,88.33336934633189,85.70687993572234,96.25,B,D,C,False,True,A): The color of my hair | B): The way I walk | C): The size of a statue | D): The sound a computer makes
full,Full FUR,880,Predators eat,6,12,True,"5,7",2,5,0.6794791823149796,0.6794791823149796,91.39756600416064,93.97112171325888,95.83333333333333,A,C,C,False,True,A): lions | B): humans | C): bunnies | D): grass
full,Full FUR,889,An animal that only eats plants is a,6,6,True,"0,1,4,5",4,5,0.6938238989865251,0.6938238989865251,91.39756600416064,85.36610585213002,93.33333333333333,B,C,B,True,True,A): rat | B): moth | C): chimpanzee | D): pig
