id,arm_base,model_base,direct_correct_base,cot_correct_base,agreement_base,generated_steps_base,valid_steps_base,cot_words_base,initial_margin_base,hard_flip_base,max_soft_shift_base,arm_sft,model_sft,direct_correct_sft,cot_correct_sft,agreement_sft,generated_steps_sft,valid_steps_sft,cot_words_sft,initial_margin_sft,hard_flip_sft,max_soft_shift_sft
7-527,base,Base LLaMA-3B,0,0,0,5,4,104,92.3828125,0,10.9375,sft,DeepSeek-Revision SFT,0,0,1,3,3,55,79.736328125,0,38.4765625
9-554,base,Base LLaMA-3B,1,1,1,5,5,95,85.5712890625,1,90.2165412902832,sft,DeepSeek-Revision SFT,1,1,1,3,3,33,85.498046875,1,62.109375
8-186,base,Base LLaMA-3B,1,0,0,5,5,85,91.9189453125,0,12.890625,sft,DeepSeek-Revision SFT,1,1,1,3,3,36,94.921875,0,16.015625
1672,base,Base LLaMA-3B,1,1,1,16,8,95,67.08984375,1,56.640625,sft,DeepSeek-Revision SFT,1,1,1,3,3,29,94.482421875,0,30.46875
9-948,base,Base LLaMA-3B,1,1,1,6,3,37,95.794677734375,1,60.546875,sft,DeepSeek-Revision SFT,1,1,1,3,3,27,97.5830078125,1,94.1162109375
9-317,base,Base LLaMA-3B,1,1,1,8,4,45,54.6875,1,69.27337646484375,sft,DeepSeek-Revision SFT,1,1,1,3,3,26,93.3349609375,0,17.96875
7-417,base,Base LLaMA-3B,0,0,1,8,4,42,17.7734375,1,43.288421630859375,sft,DeepSeek-Revision SFT,0,0,1,3,3,32,36.5234375,1,65.582275390625
3,base,Base LLaMA-3B,1,1,1,4,4,81,76.85546875,1,66.50390625,sft,DeepSeek-Revision SFT,1,1,1,5,5,46,79.248046875,1,71.09375
1787,base,Base LLaMA-3B,1,1,1,5,5,78,15.625,1,48.4130859375,sft,DeepSeek-Revision SFT,0,0,0,4,4,36,34.27734375,1,57.769775390625
1759,base,Base LLaMA-3B,1,1,1,9,5,87,98.0743408203125,0,2.734375,sft,DeepSeek-Revision SFT,1,1,1,3,3,43,99.2919921875,0,17.578125
28,base,Base LLaMA-3B,0,0,1,6,6,96,60.05859375,1,43.9453125,sft,DeepSeek-Revision SFT,0,1,0,3,2,38,44.7265625,0,-0.390625
7-1128,base,Base LLaMA-3B,1,1,1,4,4,98,92.0166015625,1,88.6474609375,sft,DeepSeek-Revision SFT,1,1,1,3,3,30,93.5302734375,1,93.85986328125
9-504,base,Base LLaMA-3B,1,1,1,7,7,88,76.708984375,1,80.859375,sft,DeepSeek-Revision SFT,1,1,1,4,4,49,87.59765625,1,85.986328125
7-1170,base,Base LLaMA-3B,1,0,0,12,6,99,21.875,1,52.5390625,sft,DeepSeek-Revision SFT,0,0,1,2,2,28,29.1015625,1,62.11700439453125
8-192,base,Base LLaMA-3B,1,1,1,5,5,104,79.6875,1,83.3740234375,sft,DeepSeek-Revision SFT,1,1,1,3,3,42,87.40234375,1,90.31982421875
1047,base,Base LLaMA-3B,1,1,1,3,3,42,64.501953125,0,25.78125,sft,DeepSeek-Revision SFT,1,1,1,3,3,34,96.038818359375,1,96.600341796875
7-1132,base,Base LLaMA-3B,0,1,0,6,3,37,51.66015625,1,55.56640625,sft,DeepSeek-Revision SFT,0,1,0,4,4,44,9.9609375,1,43.8385009765625
202,base,Base LLaMA-3B,1,1,1,3,3,33,53.125,1,54.296875,sft,DeepSeek-Revision SFT,1,0,0,3,3,43,79.345703125,0,-3.90625
7-653,base,Base LLaMA-3B,1,1,1,5,5,89,51.5625,1,70.64208984375,sft,DeepSeek-Revision SFT,1,1,1,3,3,61,71.484375,1,82.9345703125
1274,base,Base LLaMA-3B,1,1,1,8,4,76,97.9736328125,0,49.21875,sft,DeepSeek-Revision SFT,1,1,1,3,3,33,99.88327026367188,0,1.953125
9-463,base,Base LLaMA-3B,0,0,1,4,4,73,73.73046875,1,74.755859375,sft,DeepSeek-Revision SFT,0,0,1,3,3,39,66.162109375,1,79.50439453125
9-799,base,Base LLaMA-3B,1,1,1,8,4,51,91.2841796875,1,92.901611328125,sft,DeepSeek-Revision SFT,1,1,1,3,3,40,96.649169921875,0,37.890625
1208,base,Base LLaMA-3B,1,1,1,7,6,103,52.24609375,1,64.9169921875,sft,DeepSeek-Revision SFT,1,1,1,3,3,37,72.36328125,1,78.43017578125
850,base,Base LLaMA-3B,1,1,1,6,6,91,0.0,1,24.4140625,sft,DeepSeek-Revision SFT,1,1,1,4,4,58,76.904296875,1,84.88006591796875
1239,base,Base LLaMA-3B,0,0,1,6,6,103,17.96875,1,42.724609375,sft,DeepSeek-Revision SFT,0,0,1,3,3,40,14.84375,1,46.967315673828125
1545,base,Base LLaMA-3B,1,1,1,12,6,73,93.5791015625,1,95.4254150390625,sft,DeepSeek-Revision SFT,1,1,1,3,3,36,99.49264526367188,1,99.57733154296875
8-135,base,Base LLaMA-3B,1,1,1,9,8,110,46.58203125,1,59.3017578125,sft,DeepSeek-Revision SFT,1,1,1,3,3,41,94.091796875,1,94.27490234375
1554,base,Base LLaMA-3B,1,1,1,9,7,103,91.2841796875,1,51.5625,sft,DeepSeek-Revision SFT,1,1,1,3,3,45,93.06640625,1,95.03326416015625
8-332,base,Base LLaMA-3B,1,1,1,4,4,75,89.404296875,1,54.6875,sft,DeepSeek-Revision SFT,1,1,1,3,3,35,87.0361328125,0,13.28125
7-891,base,Base LLaMA-3B,1,0,0,4,4,84,8.203125,1,5.2734375,sft,DeepSeek-Revision SFT,1,0,0,2,2,26,5.859375,0,-22.0703125
7-1197,base,Base LLaMA-3B,1,1,1,14,6,104,77.24609375,0,20.703125,sft,DeepSeek-Revision SFT,1,1,1,3,3,35,95.69091796875,0,12.109375
8-279,base,Base LLaMA-3B,1,1,1,6,6,91,81.54296875,1,54.296875,sft,DeepSeek-Revision SFT,1,1,1,3,3,40,78.271484375,1,87.85343170166016
8-466,base,Base LLaMA-3B,1,0,0,9,5,95,27.05078125,1,51.30615234375,sft,DeepSeek-Revision SFT,1,1,1,4,4,59,11.1328125,1,42.523193359375
1204,base,Base LLaMA-3B,1,1,1,6,6,94,96.185302734375,0,9.375,sft,DeepSeek-Revision SFT,1,1,1,3,3,49,97.08251953125,1,72.265625
9-24,base,Base LLaMA-3B,1,1,1,10,5,89,63.57421875,1,56.4453125,sft,DeepSeek-Revision SFT,1,1,1,4,4,45,87.3779296875,1,94.3145751953125
8-165,base,Base LLaMA-3B,1,1,1,8,4,44,94.3359375,1,75.9765625,sft,DeepSeek-Revision SFT,1,1,1,5,5,51,96.56982421875,1,76.46484375
7-664,base,Base LLaMA-3B,0,0,1,4,4,69,93.56689453125,1,51.5625,sft,DeepSeek-Revision SFT,0,1,0,3,3,67,93.1884765625,1,53.125
9-633,base,Base LLaMA-3B,1,1,1,4,4,88,98.8616943359375,1,63.8671875,sft,DeepSeek-Revision SFT,1,1,1,3,3,48,99.4171142578125,0,35.9375
8-213,base,Base LLaMA-3B,0,0,1,12,6,89,19.140625,1,54.72412109375,sft,DeepSeek-Revision SFT,1,1,1,4,4,62,67.87109375,1,78.460693359375
473,base,Base LLaMA-3B,1,1,1,10,5,88,59.66796875,1,48.33984375,sft,DeepSeek-Revision SFT,1,1,1,3,3,32,77.099609375,1,84.1827392578125
9-540,base,Base LLaMA-3B,1,1,1,5,5,93,41.2109375,1,56.34765625,sft,DeepSeek-Revision SFT,1,1,1,2,2,39,68.798828125,1,79.98046875
1160,base,Base LLaMA-3B,0,0,1,4,4,78,17.3828125,1,45.97320556640625,sft,DeepSeek-Revision SFT,0,0,1,3,3,54,10.15625,1,46.46644592285156
82,base,Base LLaMA-3B,0,0,1,3,3,96,17.1875,1,49.10125732421875,sft,DeepSeek-Revision SFT,0,0,1,3,3,35,5.859375,1,50.146484375
35,base,Base LLaMA-3B,0,0,0,5,5,102,21.2890625,1,21.875,sft,DeepSeek-Revision SFT,1,1,1,2,2,44,36.03515625,1,45.01953125
1780,base,Base LLaMA-3B,0,0,1,6,6,101,60.888671875,1,70.428466796875,sft,DeepSeek-Revision SFT,0,0,1,4,4,55,40.91796875,1,59.01947021484375
162,base,Base LLaMA-3B,1,1,1,5,4,96,90.1123046875,0,21.484375,sft,DeepSeek-Revision SFT,1,1,1,4,4,36,95.69091796875,0,2.734375
7-171,base,Base LLaMA-3B,0,1,0,10,5,92,92.041015625,1,93.756103515625,sft,DeepSeek-Revision SFT,0,0,1,3,3,60,78.076171875,1,86.09619140625
9-916,base,Base LLaMA-3B,1,1,1,4,4,48,94.482421875,0,47.8515625,sft,DeepSeek-Revision SFT,1,1,1,2,2,23,87.59765625,1,90.716552734375
44,base,Base LLaMA-3B,0,1,0,5,5,80,43.359375,1,33.0078125,sft,DeepSeek-Revision SFT,0,1,0,2,2,21,18.75,1,49.3896484375
8-367,base,Base LLaMA-3B,1,1,1,8,4,67,87.7685546875,1,91.192626953125,sft,DeepSeek-Revision SFT,1,1,1,3,3,42,96.96044921875,0,2.34375
8-445,base,Base LLaMA-3B,0,1,0,5,5,110,29.296875,1,39.16015625,sft,DeepSeek-Revision SFT,0,1,0,4,4,63,24.0234375,1,49.1455078125
1911,base,Base LLaMA-3B,1,1,1,3,3,40,98.2421875,0,34.375,sft,DeepSeek-Revision SFT,1,1,1,3,3,44,98.309326171875,0,9.765625
8-41,base,Base LLaMA-3B,0,0,1,6,3,23,72.0703125,1,81.4697265625,sft,DeepSeek-Revision SFT,1,1,1,3,3,31,12.5,1,52.728271484375
9-159,base,Base LLaMA-3B,1,1,1,13,6,99,91.24755859375,1,90.73486328125,sft,DeepSeek-Revision SFT,1,1,1,2,2,32,96.429443359375,0,-1.171875
7-424,base,Base LLaMA-3B,1,1,1,5,5,75,94.71435546875,1,94.7265625,sft,DeepSeek-Revision SFT,1,1,1,3,3,42,98.7579345703125,1,98.284912109375
1502,base,Base LLaMA-3B,0,0,1,6,6,79,83.349609375,1,77.490234375,sft,DeepSeek-Revision SFT,0,0,1,4,4,50,84.08203125,1,87.0361328125
8-318,base,Base LLaMA-3B,1,1,1,5,4,104,69.921875,1,57.12890625,sft,DeepSeek-Revision SFT,1,1,1,2,2,40,93.15185546875,0,19.921875
1890,base,Base LLaMA-3B,1,1,1,4,4,64,94.10400390625,1,95.4742431640625,sft,DeepSeek-Revision SFT,1,1,1,3,3,49,98.8128662109375,1,87.109375
8-28,base,Base LLaMA-3B,1,1,1,7,7,83,93.9453125,1,87.98828125,sft,DeepSeek-Revision SFT,1,1,1,3,3,30,96.697998046875,0,14.0625
9-566,base,Base LLaMA-3B,1,1,1,10,5,81,84.08203125,0,18.75,sft,DeepSeek-Revision SFT,1,1,1,4,4,44,98.0743408203125,1,77.34375
9-454,base,Base LLaMA-3B,1,1,1,12,6,99,97.686767578125,1,78.22265625,sft,DeepSeek-Revision SFT,1,1,1,4,4,53,98.90289306640625,1,83.3984375
1387,base,Base LLaMA-3B,1,1,1,5,5,105,32.12890625,1,56.11572265625,sft,DeepSeek-Revision SFT,0,1,0,3,3,38,0.0,1,39.63623046875
9-436,base,Base LLaMA-3B,1,1,1,7,7,107,97.08251953125,0,31.25,sft,DeepSeek-Revision SFT,1,1,1,3,3,32,99.4171142578125,0,1.5625
1189,base,Base LLaMA-3B,0,1,0,6,6,95,90.91796875,1,81.8359375,sft,DeepSeek-Revision SFT,0,1,0,3,3,38,83.88671875,0,-1.953125
8-478,base,Base LLaMA-3B,1,1,1,4,4,46,93.1884765625,0,8.984375,sft,DeepSeek-Revision SFT,1,1,1,5,5,47,96.4599609375,1,92.7490234375
9-461,base,Base LLaMA-3B,1,1,1,6,6,98,28.3203125,1,49.51171875,sft,DeepSeek-Revision SFT,1,1,1,3,3,48,32.8125,1,61.21826171875
664,base,Base LLaMA-3B,0,0,1,12,5,89,30.2734375,1,50.86212158203125,sft,DeepSeek-Revision SFT,0,0,1,3,3,42,36.328125,1,26.7578125
9-281,base,Base LLaMA-3B,1,1,1,4,4,54,94.29931640625,0,8.984375,sft,DeepSeek-Revision SFT,1,1,1,3,3,44,95.10498046875,0,30.46875
9-1046,base,Base LLaMA-3B,0,1,0,6,6,68,61.71875,1,49.0234375,sft,DeepSeek-Revision SFT,0,1,0,3,3,41,41.40625,1,64.41650390625
8-59,base,Base LLaMA-3B,0,1,0,7,7,105,5.078125,0,8.984375,sft,DeepSeek-Revision SFT,1,1,1,3,3,55,26.171875,1,54.4189453125
9-550,base,Base LLaMA-3B,0,0,1,7,7,99,67.1875,1,76.8798828125,sft,DeepSeek-Revision SFT,0,0,1,3,3,43,84.7900390625,1,90.4296875
406,base,Base LLaMA-3B,1,0,0,4,4,54,94.158935546875,1,77.34375,sft,DeepSeek-Revision SFT,1,1,1,2,2,49,73.92578125,1,72.314453125
8-464,base,Base LLaMA-3B,0,0,1,8,8,101,23.046875,1,58.935546875,sft,DeepSeek-Revision SFT,1,0,0,3,3,35,45.3125,1,70.9442138671875
9-490,base,Base LLaMA-3B,0,0,1,4,4,56,42.3828125,0,6.640625,sft,DeepSeek-Revision SFT,0,0,1,3,3,34,92.68798828125,1,94.6990966796875
9-520,base,Base LLaMA-3B,1,0,0,6,6,110,4.6875,1,37.69530197605491,sft,DeepSeek-Revision SFT,1,0,0,4,4,35,4.8828125,1,27.734375
8-43,base,Base LLaMA-3B,1,1,1,5,5,69,68.45703125,1,64.35546875,sft,DeepSeek-Revision SFT,1,1,1,3,3,30,74.31640625,1,86.114501953125
485,base,Base LLaMA-3B,1,1,1,4,4,90,11.328125,0,4.296875,sft,DeepSeek-Revision SFT,1,1,1,3,3,38,57.71484375,1,49.31640625
7-93,base,Base LLaMA-3B,1,1,1,1,1,5,70.849609375,1,79.443359375,sft,DeepSeek-Revision SFT,1,1,1,5,5,41,91.24755859375,1,93.4173583984375
9-110,base,Base LLaMA-3B,1,1,1,8,4,59,98.8128662109375,0,8.203125,sft,DeepSeek-Revision SFT,1,1,1,2,2,33,99.951171875,0,0.390625
970,base,Base LLaMA-3B,1,1,1,4,4,37,60.25390625,1,76.1685848236084,sft,DeepSeek-Revision SFT,1,1,1,4,4,59,86.865234375,1,89.17236328125
9-983,base,Base LLaMA-3B,1,1,1,6,6,107,90.0146484375,1,93.8934326171875,sft,DeepSeek-Revision SFT,1,1,1,3,3,41,93.5791015625,1,96.0784912109375
7-902,base,Base LLaMA-3B,1,1,1,12,6,102,98.2421875,1,98.553466796875,sft,DeepSeek-Revision SFT,1,1,1,3,3,36,99.4171142578125,0,3.125
